"","PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
"204","North East Delhi",2,"GEN","Delhi [1977 Onwards]","Manoj Tiwari","Bharatiya Janta Party",1957707,1317338,"67.30%",144084,"10.90%"
"205","North Goa",1,"GEN","Goa","Shripad Yesso Naik","Bharatiya Janta Party",515441,406631,"78.90%",105599,"26.00%"
"206","North West Delhi",5,"SC","Delhi [1977 Onwards]","Udit Raj","Bharatiya Janta Party",2194425,1356036,"61.80%",106802,"7.90%"
"207","Nowgong",10,"GEN","Assam","Rajen Gohain","Bharatiya Janta Party",1523881,1230074,"80.70%",143559,"11.70%"
"208","Palamau",13,"SC","Jharkhand","Vishnu Dayal Ram","Bharatiya Janta Party",1645957,977323,"59.40%",263942,"27.00%"
"209","Palghar",22,"ST","Maharashtra","Adv. Chintaman Navasha Wanga","Bharatiya Janta Party",1578077,992618,"62.90%",239520,"24.10%"
"210","Pali",15,"GEN","Rajasthan","P P Choudhary","Bharatiya Janta Party",1893030,1095587,"57.90%",399039,"36.40%"
"211","Panchmahal",18,"GEN","Gujarat","Chauhan Prabhatsinh Pratapsinh","Bharatiya Janta Party",1576667,933461,"59.20%",170596,"18.30%"
"212","Paschim Champaran",2,"GEN","Bihar [2000 Onwards]","Dr. Sanjay Jaiswal","Bharatiya Janta Party",1413073,854800,"60.50%",110254,"12.90%"
"213","Pataliputra",31,"GEN","Bihar [2000 Onwards]","Ram Kripal Yadav","Bharatiya Janta Party",1736074,978649,"56.40%",40322,"4.10%"
"214","Patan",3,"GEN","Gujarat","Liladharbhai Khodaji Vaghela","Bharatiya Janta Party",1628641,955799,"58.70%",138719,"14.50%"
"215","Patna Sahib",30,"GEN","Bihar [2000 Onwards]","Shatrughana Sinha","Bharatiya Janta Party",1946249,882262,"45.30%",265805,"30.10%"
"216","Phulpur",51,"GEN","Uttar Pradesh [2000 Onwards]","Keshav Prasad Maurya","Bharatiya Janta Party",1913274,960341,"50.20%",308308,"32.10%"
"217","Pilibhit",26,"GEN","Uttar Pradesh [2000 Onwards]","Maneka Sanjay Gandhi","Bharatiya Janta Party",1671151,1050547,"62.90%",307052,"29.20%"
"218","Porbandar",11,"GEN","Gujarat","Radadiya Vithalbhai Hansrajbhai","Bharatiya Janta Party",1539223,809433,"52.60%",267971,"33.10%"
"219","Pune",34,"GEN","Maharashtra","Anil Shirole","Bharatiya Janta Party",1835836,993274,"54.10%",315769,"31.80%"
